MetaMessage type: track_name, time: 0, actual_time: 0
type: program_change, time: 0, actual_time: 0
type=note_on channel=0 note=52 velocity=0 time=96 actual_time=22836
type=note_on channel=0 note=50 velocity=80 time=24 actual_time=22860
type=note_on channel=0 note=50 velocity=0 time=96 actual_time=22956
type=note_on channel=0 note=57 velocity=80 time=204 actual_time=23160
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=23256
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=23280
type=note_on channel=0 note=57 velocity=0 time=48 actual_time=23328
type=note_on channel=0 note=57 velocity=80 time=12 actual_time=23340
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=23436
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=23460
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=23556
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=23580
type=note_on channel=0 note=57 velocity=0 time=192 actual_time=23772
type=note_on channel=0 note=57 velocity=80 time=48 actual_time=23820
type=note_on channel=0 note=57 velocity=0 time=144 actual_time=23964
type=note_on channel=0 note=57 velocity=80 time=36 actual_time=24000
type=note_on channel=0 note=57 velocity=0 time=48 actual_time=24048
type=note_on channel=0 note=57 velocity=80 time=12 actual_time=24060
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=24156
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=24180
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=24276
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=24300
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=24396
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=24420
type=note_on channel=0 note=59 velocity=0 time=288 actual_time=24708
type=note_on channel=0 note=59 velocity=80 time=192 actual_time=24900
type=note_on channel=0 note=59 velocity=0 time=48 actual_time=24948
type=note_on channel=0 note=59 velocity=80 time=12 actual_time=24960
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=25056
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=25080
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=25176
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=25200
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=25296
type=note_on channel=0 note=62 velocity=80 time=24 actual_time=25320
type=note_on channel=0 note=62 velocity=0 time=192 actual_time=25512
type=note_on channel=0 note=62 velocity=80 time=48 actual_time=25560
type=note_on channel=0 note=62 velocity=0 time=192 actual_time=25752
type=note_on channel=0 note=62 velocity=80 time=48 actual_time=25800
type=note_on channel=0 note=62 velocity=0 time=216 actual_time=26016
type=note_on channel=0 note=61 velocity=80 time=24 actual_time=26040
type=note_on channel=0 note=61 velocity=0 time=96 actual_time=26136
type=note_on channel=0 note=61 velocity=80 time=24 actual_time=26160
type=note_on channel=0 note=61 velocity=0 time=96 actual_time=26256
type=note_on channel=0 note=62 velocity=80 time=24 actual_time=26280
type=note_on channel=0 note=62 velocity=0 time=96 actual_time=26376
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=26400
type=note_on channel=0 note=59 velocity=0 time=192 actual_time=26592
type=note_on channel=0 note=59 velocity=80 time=408 actual_time=27000
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=27096
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=27120
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=27216
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=27240
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=27336
type=note_on channel=0 note=62 velocity=80 time=24 actual_time=27360
type=note_on channel=0 note=62 velocity=0 time=96 actual_time=27456
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=27480
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=27576
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=27600
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=27696
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=27720
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=27816
type=note_on channel=0 note=62 velocity=80 time=24 actual_time=27840
type=note_on channel=0 note=62 velocity=0 time=96 actual_time=27936
type=note_on channel=0 note=62 velocity=80 time=24 actual_time=27960
type=note_on channel=0 note=62 velocity=0 time=96 actual_time=28056
type=note_on channel=0 note=62 velocity=80 time=24 actual_time=28080
type=note_on channel=0 note=62 velocity=0 time=96 actual_time=28176
